Time;Seconds from start for linreg;Unix Time;ch1 po2;ch2 po2;ch3 po2;ch4 po2;
1900-01-01 00:47:08;1.0;1745678828;100.982;102.392;97.488;103.549;
1900-01-01 00:47:09;2.0;1745678829;100.956;102.468;97.488;103.549;
1900-01-01 00:47:10;3.0;1745678830;100.956;102.468;97.56;103.569;
1900-01-01 00:47:11;4.0;1745678831;100.925;102.485;97.531;103.569;
1900-01-01 00:47:12;5.0;1745678832;100.867;102.491;97.531;103.595;
1900-01-01 00:47:13;6.0;1745678833;100.867;102.491;97.556;103.574;
1900-01-01 00:47:14;7.0;1745678834;100.911;102.417;97.502;103.574;
1900-01-01 00:47:15;8.0;1745678835;100.857;102.466;97.502;103.601;
1900-01-01 00:47:16;9.0;1745678836;100.857;102.466;97.486;103.531;
1900-01-01 00:47:17;10.0;1745678837;100.874;102.527;97.349;103.531;
1900-01-01 00:47:18;11.0;1745678838;100.825;102.445;97.349;103.675;
1900-01-01 00:47:19;12.0;1745678839;100.825;102.445;97.259;103.61;
1900-01-01 00:47:20;13.0;1745678840;100.829;102.452;97.329;103.61;
1900-01-01 00:47:21;14.0;1745678841;100.791;102.452;97.329;103.544;
1900-01-01 00:47:22;15.0;1745678842;100.791;102.444;97.388;103.579;
1900-01-01 00:47:23;16.0;1745678843;100.763;102.431;97.406;103.579;
1900-01-01 00:47:24;17.0;1745678844;100.804;102.431;97.406;103.599;
1900-01-01 00:47:25;18.0;1745678845;100.804;102.488;97.369;103.541;
1900-01-01 00:47:26;19.0;1745678846;100.79;102.39;97.369;103.541;
1900-01-01 00:47:27;20.0;1745678847;100.862;102.39;97.223;103.587;
1900-01-01 00:47:28;21.0;1745678848;100.862;102.423;97.27;103.488;
1900-01-01 00:47:30;22.0;1745678850;100.68;102.473;97.213;103.488;
1900-01-01 00:47:30;23.0;1745678850;100.68;102.473;97.213;103.646;
1900-01-01 00:47:31;24.0;1745678851;100.864;102.381;97.294;103.595;
1900-01-01 00:47:32;25.0;1745678852;100.755;102.472;97.294;103.595;
1900-01-01 00:47:33;26.0;1745678853;100.755;102.472;97.273;103.638;
1900-01-01 00:47:34;27.0;1745678854;100.688;102.414;97.349;103.638;
1900-01-01 00:47:35;28.0;1745678855;100.771;102.414;97.349;103.572;
1900-01-01 00:47:36;29.0;1745678856;100.771;102.391;97.2;103.519;
1900-01-01 00:47:37;30.0;1745678857;100.647;102.428;97.31;103.519;
1900-01-01 00:47:38;31.0;1745678858;100.707;102.428;97.31;103.558;
1900-01-01 00:47:39;32.0;1745678859;100.707;102.377;97.284;103.633;
1900-01-01 00:47:40;33.0;1745678860;100.746;102.299;97.284;103.633;
1900-01-01 00:47:41;34.0;1745678861;100.683;102.299;97.242;103.627;
1900-01-01 00:47:42;35.0;1745678862;100.683;102.275;97.225;103.607;
1900-01-01 00:47:43;36.0;1745678863;100.736;102.317;97.225;103.607;
1900-01-01 00:47:44;37.0;1745678864;100.76;102.317;97.288;103.597;
1900-01-01 00:47:45;38.0;1745678865;100.76;102.349;97.157;103.703;
1900-01-01 00:47:46;39.0;1745678866;100.767;102.32;97.159;103.703;
1900-01-01 00:47:47;40.0;1745678867;0.0;0.0;0.0;0.0;
1900-01-01 00:47:48;41.0;1745678868;100.753;102.366;97.14;103.59;
1900-01-01 00:47:49;42.0;1745678869;100.907;102.324;97.14;103.59;
1900-01-01 00:47:50;43.0;1745678870;100.915;102.324;97.145;103.663;
1900-01-01 00:47:51;44.0;1745678871;100.915;102.355;97.167;103.663;
1900-01-01 00:47:52;45.0;1745678872;100.94;102.32;97.167;103.632;
1900-01-01 00:47:53;46.0;1745678873;100.911;102.32;97.142;103.568;
1900-01-01 00:47:54;47.0;1745678874;100.911;102.405;97.109;103.609;
1900-01-01 00:47:55;48.0;1745678875;100.843;102.373;97.109;103.609;
1900-01-01 00:47:56;49.0;1745678876;100.843;102.373;97.193;103.602;
1900-01-01 00:47:57;50.0;1745678877;100.865;102.394;97.224;103.557;
1900-01-01 00:47:58;51.0;1745678878;100.893;102.333;97.224;103.557;
1900-01-01 00:47:59;52.0;1745678879;100.893;102.333;97.139;103.672;
1900-01-01 00:48:00;53.0;1745678880;100.85;102.308;97.266;103.672;
1900-01-01 00:48:01;54.0;1745678881;100.77;102.308;97.266;103.645;
1900-01-01 00:48:02;55.0;1745678882;100.77;102.275;97.217;103.634;
1900-01-01 00:48:03;56.0;1745678883;100.783;102.354;97.192;103.634;
1900-01-01 00:48:04;57.0;1745678884;100.725;102.354;97.192;103.66;
1900-01-01 00:48:05;58.0;1745678885;100.725;102.333;97.198;103.681;
